RAOB/CSV,Ballon Launch 08_14_2017,,,,,,,,,,
INFO:1,,,,,,,,,,,
INFO:2,,,,,,,,,,,
DTG,2017-08-14 13:00:00,,,,,,,,,,
LAT,50.3,S,,,,,,,,,
LON,72.8,W,,,,,,,,,
ELEV,5,M,,,,,,,,,
WMO,,,,,,,,,,,
TEMPERATURE,C,,,,,,,,,,
MOISTURE,RH,,,,,,,,,,
WIND,kts,,,,,,,,,,
GPM,MSL,,,,,,,,,,
MISSING,-999,,,,,,,,,,
SORT,YES,,,,,,,,,,
OZONE,mPa,,,,,,,,,,
RAOB/DATA,,,,,,,,,,,
PRES,TEMP,RH,WIND,SPEED,GPM,OZONE,OMEGA,CFRL,VapDen,LiqWat,WSPEED
243.5,-52,1.84,239.200256,46.49561446,9963,,,,,,
242.68,-51.76,1.62,242.4525154,45.27891489,9984,,,,,,
241.91,-51.6,1.47,245.8437449,45.74331976,10004,,,,,,
241.06,-51.26,1.26,249.9784724,45.9837782,10025,,,,,,
240.48,-51,0.91,253.6187043,45.0462066,10044,,,,,,
239.9,-50.63,0.73,255.2268929,48.28939946,10062,,,,,,
239.2,-50.3,0.66,254.2207095,49.40047767,10079,,,,,,
238.58,-50.4,0.54,252.8841718,49.30852464,10098,,,,,,
237.85,-50.47,0.36,251.2532515,49.31301698,10117,,,,,,
236.91,-50.48,0.2,249.0526952,49.33604239,10144,,,,,,
236.11,-50.3,0.12,246.1341234,48.87121044,10167,,,,,,
235.11,-50.17,0,242.338008,50.94741106,10196,,,,,,
234.06,-50.37,,243.7275982,51.72870255,10222,,,,,,
233.22,-50.27,,241.0703684,52.63695033,10247,,,,,,
232.3,-49.7,,239.6477239,51.79876722,10275,,,,,,
231.23,-48.93,,240.5175418,49.90110188,10306,,,,,,
230.14,-48.49,,244.0769551,46.17321729,10338,,,,,,
228.94,-48.26,,247.4772486,45.88550276,10370,,,,,,
227.87,-48.22,,246.640083,48.23849435,10401,,,,,,
226.61,-48.33,,248.0592061,48.53419907,10437,,,,,,
225.36,-47.9,,247.8676703,50.30565852,10473,,,,,,
224.24,-47.6,,245.0102302,49.91643987,10508,,,,,,
223.03,-47.44,,243.4500043,51.2756833,10543,,,,,,
221.78,-47.19,,242.395298,54.38861525,10579,,,,,,
220.55,-47.01,,242.5531852,56.45061494,10615,,,,,,
219.37,-46.96,,242.7487237,56.11860889,10652,,,,,,
218.13,-47.23,,244.4269746,57.42821001,10688,,,,,,
216.94,-47.51,,244.5709009,55.8265829,10726,,,,,,
215.65,-47.62,,246.4053781,55.36547794,10761,,,,,,
214.37,-47.72,,247.2986473,55.68925658,10797,,,,,,
213.16,-47.91,,247.0957844,54.6152677,10836,,,,,,
211.9,-47.93,,247.5873837,54.90047874,10876,,,,,,
210.63,-48.19,,245.8174524,56.30611545,10915,,,,,,
209.33,-48.36,,244.6345937,56.50968631,10957,,,,,,
207.95,-48.35,,243.880265,58.16770222,10999,,,,,,
206.63,-48.36,,243.7571749,56.11399137,11039,,,,,,
205.39,-48.51,,242.7809547,55.99166067,11080,,,,,,
204.02,-48.74,,242.3225198,54.44244276,11123,,,,,,
202.77,-48.88,,239.1306587,56.30205475,11164,,,,,,
201.47,-48.67,,236.8672552,54.55086363,11207,,,,,,
200.03,-48.62,,235.8524243,53.2736262,11253,,,,,,
198.7,-48.75,,239.4740934,54.62634621,11297,,,,,,
197.23,-48.91,,242.3747525,53.46958034,11343,,,,,,
196.06,-49.1,,243.0151266,54.8272208,11387,,,,,,
194.61,-49.11,,244.5501396,56.33496804,11434,,,,,,
193.18,-49.04,,247.3153542,56.62050185,11482,,,,,,
191.85,-48.81,,249.5052305,58.36000107,11530,,,,,,
190.4,-49,,249.597151,57.43886392,11578,,,,,,
188.94,-49.11,,248.4800541,61.04501261,11627,,,,,,
187.57,-49.29,,247.1199869,61.64141599,11677,,,,,,
186.19,-49.24,,246.9967502,63.64179142,11725,,,,,,
184.76,-49.32,,249.9196321,62.82992415,11774,,,,,,
183.39,-49.31,,251.7671323,63.70637593,11824,,,,,,
182.02,-49.43,,250.8956143,61.89452416,11872,,,,,,
180.74,-49.42,,251.3353771,61.27954968,11918,,,,,,
179.44,-49.38,,250.3208769,63.35296348,11965,,,,,,
178.15,-49.43,,247.9556567,64.48018957,12012,,,,,,
176.86,-49.69,,246.1547341,64.98286304,12059,,,,,,
175.64,-50.07,,245.4628478,65.23173729,12107,,,,,,
174.38,-50.31,,242.5991039,65.656197,12154,,,,,,
173.11,-50.23,,242.1728805,64.36209299,12199,,,,,,
171.87,-50.26,,241.6503432,63.95350193,12243,,,,,,
170.76,-50.39,,243.1206971,64.64078499,12286,,,,,,
169.55,-50.49,,242.7346675,62.01089656,12335,,,,,,
168.46,-50.67,,239.2723921,60.91689882,12376,,,,,,
167.37,-50.7,,237.0754468,60.12366344,12418,,,,,,
166.29,-50.49,,236.4387176,62.22982613,12459,,,,,,
165.35,-50.64,,235.5062891,64.70380177,12496,,,,,,
164.4,-50.69,,236.3391982,67.38867566,12534,,,,,,
163.54,-50.48,,235.1015039,66.19285811,12566,,,,,,
162.72,-50.12,,233.8072381,63.99007829,12596,,,,,,
162.13,-49.96,,233.4054333,63.92684806,12623,,,,,,
161.29,-49.62,,235.3665079,62.12684107,12651,,,,,,
160.74,-49.58,,235.9162422,59.93021603,12677,,,,,,
160.06,-49.52,,236.8981988,55.34491821,12706,,,,,,
159.37,-49.43,,237.3730005,53.78239407,12731,,,,,,
158.82,-49.33,,238.3382277,53.47791306,12756,,,,,,
158.16,-49.24,,240.3264592,52.26139184,12783,,,,,,
157.52,-49.05,,241.4027493,49.55299924,12809,,,,,,
156.9,-48.89,,243.5199271,49.18096786,12837,,,,,,
156.19,-49,,242.9003665,48.28263018,12866,,,,,,
155.49,-49.14,,242.817302,50.6903887,12897,,,,,,
154.76,-49.14,,241.5582131,49.48425193,12927,,,,,,
154.02,-49.27,,241.4619979,49.15146823,12961,,,,,,
153.19,-49.42,,242.1098888,49.82836894,12996,,,,,,
152.43,-49.55,,244.3169212,49.45383394,13035,,,,,,
151.59,-49.86,,242.6391828,49.82431396,13071,,,,,,
150.66,-50.01,,242.6838313,49.57105178,13112,,,,,,
149.67,-50.04,,241.9229883,48.47226693,13153,,,,,,
148.76,-50.33,,243.5088064,50.99509406,13197,,,,,,
147.71,-50.58,,243.2541817,50.73706819,13243,,,,,,
146.6,-50.7,,243.7204593,49.4799497,13290,,,,,,
145.54,-51,,242.4327829,48.96933527,13339,,,,,,
144.43,-51.01,,245.3332411,49.75376646,13390,,,,,,
143.3,-51.09,,245.3436267,49.97967622,13443,,,,,,
142.11,-51.28,,245.3859568,50.42169886,13498,,,,,,
140.9,-51.66,,245.0964596,52.07065843,13553,,,,,,
139.58,-52.01,,245.4420014,51.92715026,13610,,,,,,
138.41,-52.38,,246.1409362,52.55444739,13668,,,,,,
137.22,-52.83,,247.2031525,50.1943235,13726,,,,,,
135.93,-52.84,,245.3707871,53.59365144,13785,,,,,,
134.65,-53.02,,245.8937832,56.26264176,13844,,,,,,
133.48,-52.88,,247.1413423,55.1610709,13904,,,,,,
132.28,-52.95,,245.4489938,52.5106059,13959,,,,,,
131.18,-53.19,,243.7017597,52.45872838,14013,,,,,,
130.04,-53.5,,244.3120912,55.69998466,14069,,,,,,
128.9,-53.83,,243.4398274,53.76010745,14123,,,,,,
127.78,-54.26,,243.7958177,52.04849788,14175,,,,,,
126.82,-54.42,,241.7962462,53.00857342,14224,,,,,,
125.77,-54.53,,238.9099997,52.31614229,14273,,,,,,
124.9,-54.86,,239.8436738,53.77382193,14320,,,,,,
123.94,-55.1,,241.1264256,55.76100539,14367,,,,,,
123.08,-55.37,,238.5807976,59.71093276,14409,,,,,,
