"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table1"
"TIMESTAMP","RECORD","AirTC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2018-09-02 12:02:20",489,6.017,64.11
"2018-09-02 12:02:21",490,6.123,64.19
"2018-09-02 12:02:22",491,6.017,64.12
"2018-09-02 12:02:23",492,6.105,64.14
"2018-09-02 12:02:24",493,6.101,64.14
"2018-09-02 12:02:25",494,6.027,64.12
"2018-09-02 12:02:26",495,6.117,64.19
"2018-09-02 12:02:27",496,6.022,64.12
"2018-09-02 12:02:28",497,6.118,64.2
"2018-09-02 12:02:29",498,6.019,64.12
"2018-09-02 12:02:30",499,6.052,64.1
"2018-09-02 12:02:31",500,6.097,64.14
"2018-09-02 12:02:32",501,6.025,64.11
"2018-09-02 12:02:33",502,6.096,64.18
"2018-09-02 12:02:34",503,6.027,64.12
"2018-09-02 12:02:35",504,6.12,64.18
"2018-09-02 12:02:36",505,6.026,64.12
"2018-09-02 12:02:37",506,6.037,64.06
"2018-09-02 12:02:38",507,6.102,64.15
"2018-09-02 12:02:39",508,6.02,64.11
"2018-09-02 12:02:40",509,6.119,64.18
"2018-09-02 12:02:41",510,6.025,64.12
"2018-09-02 12:02:42",511,6.111,64.19
"2018-09-02 12:02:43",512,6.027,64.12
"2018-09-02 12:02:44",513,6.017,64.09
"2018-09-02 12:02:45",514,6.108,64.16
"2018-09-02 12:02:46",515,6.018,64.12
"2018-09-02 12:02:47",516,6.119,64.19
"2018-09-02 12:02:48",517,6.018,64.12
"2018-09-02 12:02:49",518,6.093,64.22
"2018-09-02 12:02:50",519,6.107,64.12
"2018-09-02 12:02:51",520,6.018,64.11
"2018-09-02 12:02:52",521,6.128,64.19
"2018-09-02 12:02:53",522,6.016,64.12
"2018-09-02 12:02:54",523,6.123,64.19
"2018-09-02 12:02:55",524,6.085,64.34
"2018-09-02 12:02:56",525,6.024,64.11
